PROTEIN_SEQUENCE	Comm1 (26)	Comm2 (8)	Comm3 (4)
A2ENR8_TRIVA/6-137	20.453846 (19)	0.000000 (0)	0.000000 (0)
F9UD85_9GAMM/14-159	46.073845 (26)	0.000000 (0)	0.000000 (0)
E6J781_9ACTO/149-270	0.644615 (6)	54.071430 (5)	117.500000 (4)
A4A481_9GAMM/4-135	1.201538 (7)	131.732147 (8)	0.000000 (0)
E3F1V1_KETVY/9-145	1.098462 (7)	3.625000 (2)	24.000000 (2)
H1XSI7_9BACT/4-134	1.201538 (7)	105.267860 (7)	117.500000 (4)
B7A9E6_THEAQ/3-130	0.476923 (4)	105.267860 (7)	117.500000 (4)
H6RQ01_BLASD/6-139	0.770769 (6)	12.071428 (3)	62.583332 (3)
A8LS16_DINSH/7-144	1.098462 (7)	0.000000 (1)	24.000000 (2)
G2KN24_MICAA/4-135	1.201538 (7)	108.482140 (7)	0.000000 (0)
O66910_AQUAE/3-135	0.755385 (6)	131.732147 (8)	117.500000 (4)
E6WT12_PSEUU/6-151	44.135384 (25)	0.000000 (0)	0.000000 (0)
E4NYQ5_BIFBP/9-164	12.416924 (17)	0.000000 (0)	0.000000 (0)
B5WGD2_9BURK/5-147	4.590769 (12)	0.000000 (0)	0.000000 (1)
F7SXL5_ALCXX/8-142	0.755385 (6)	131.732147 (8)	0.000000 (0)
G7GFC2_9GAMM/9-160	42.195385 (25)	0.000000 (0)	0.000000 (0)
B5CS11_9FIRM/4-146	19.503077 (18)	0.000000 (0)	0.000000 (0)
H1K808_9MYCO/6-131	0.390769 (4)	3.428571 (2)	24.000000 (2)
H8DZ64_9NEIS/4-144	18.326155 (17)	0.000000 (1)	0.000000 (1)
H1LIM6_9LACO/1-131	14.398461 (11)	0.000000 (0)	0.000000 (1)
B8GNL0_THISH/9-143	0.755385 (6)	131.732147 (8)	0.000000 (0)
H1HY11_9BACI/4-141	4.766154 (12)	0.000000 (0)	0.000000 (1)
Q8RD95_THETN/3-143	5.981538 (13)	0.000000 (1)	0.000000 (0)
A8LIE1_DINSH/121-255	1.281538 (8)	131.732147 (8)	0.000000 (0)
A6DCH9_9PROT/4-126	1.201538 (7)	105.267860 (7)	24.000000 (2)
Q47ME8_THEFY/15-161	37.315384 (24)	0.000000 (0)	0.000000 (0)
Q7U7R6_SYNPX/3-146	2.103077 (8)	2.732143 (2)	0.000000 (0)
C7M9P7_BRAFD/6-163	9.012308 (16)	0.000000 (0)	0.000000 (0)
F2G6R1_ALTMD/7-149	38.263077 (24)	0.000000 (0)	0.000000 (0)
H9ULR1_9SPIO/4-150	26.369230 (21)	0.000000 (0)	0.000000 (0)
G2EKJ5_CORGT/7-191	7.732308 (13)	0.000000 (1)	0.000000 (0)
C0EVJ7_9FIRM/1-129	6.713846 (8)	0.000000 (0)	0.000000 (0)
F9DRC0_9BACL/3-140	4.764616 (12)	0.000000 (0)	0.000000 (1)
E8MYD4_ANATU/5-134	1.201538 (7)	105.267860 (7)	24.333334 (2)
G5R1Q9_SALSE/3-146	1.538462 (8)	131.732147 (8)	0.000000 (0)
G2TFF4_RHORU/4-150	34.023075 (23)	0.000000 (0)	0.000000 (0)
G2KU48_LACSM/27-170	17.784615 (18)	0.000000 (0)	0.000000 (1)
O66881_AQUAE/3-130	0.001538 (2)	17.125000 (3)	24.000000 (2)
E0TE31_PARBH/6-154	27.823076 (22)	0.000000 (0)	0.000000 (0)
C9PYZ0_9BACT/9-155	46.073845 (26)	0.000000 (0)	0.000000 (0)
E1Z1Z8_CHLVA/76-250	5.600000 (10)	0.000000 (0)	0.000000 (1)
E6LAL2_CAMUP/1-130	5.743077 (7)	0.000000 (1)	0.000000 (0)
B9XPG3_9BACT/4-146	5.107692 (13)	0.000000 (0)	0.000000 (1)
C5VNS5_CLOBO/3-141	3.781538 (12)	0.000000 (1)	0.000000 (0)
C7LXD1_DESBD/3-134	1.066154 (6)	81.928574 (6)	117.500000 (4)
G4T056_META2/6-151	46.073845 (26)	0.000000 (0)	0.000000 (0)
F9MX90_9FIRM/3-132	4.764616 (12)	0.000000 (0)	0.000000 (0)
C8N935_9GAMM/6-151	38.341537 (24)	0.000000 (0)	0.000000 (1)
Q0RP48_FRAAA/15-193	2.856923 (11)	0.000000 (0)	0.000000 (0)
F6B5M9_DESCC/5-145	2.638462 (10)	0.000000 (0)	0.000000 (0)
F7JIF9_9FIRM/4-145	20.621538 (19)	0.000000 (0)	0.000000 (0)
H7DWA6_9FIRM/6-127	1.380000 (9)	47.857143 (5)	0.000000 (1)
B1KRA5_SHEWM/7-155	44.135384 (25)	0.000000 (0)	0.000000 (0)
D2B200_STRRD/84-256	5.047692 (12)	0.000000 (0)	0.000000 (0)
F2NHV8_DESAR/4-133	0.944615 (7)	105.267860 (7)	117.500000 (4)
A4SZ94_POLSQ/7-141	0.683077 (5)	104.964287 (7)	0.000000 (0)
F7QHZ3_9BRAD/8-142	0.750769 (6)	11.250000 (3)	56.916668 (3)
C1DB09_LARHH/6-150	41.206154 (24)	0.000000 (0)	0.000000 (0)
I0IHJ8_9BACT/6-162	36.526154 (24)	0.000000 (0)	0.000000 (0)
F5KK91_PSEAI/3-134	0.689231 (6)	131.732147 (8)	0.000000 (0)
I0K519_9BACT/4-153	38.107693 (24)	0.000000 (0)	0.000000 (0)
C7Q637_CATAD/12-156	28.183077 (21)	0.000000 (0)	0.000000 (0)
E8M8D1_9VIBR/41-183	41.141537 (24)	0.000000 (0)	0.000000 (0)
D5QBE8_GLUHA/7-150	40.852306 (25)	0.000000 (0)	0.000000 (0)
H9XTS5_9ENTR/16-150	7.307693 (14)	0.000000 (0)	0.000000 (0)
A1RAS6_ARTAT/10-161	18.730770 (19)	0.000000 (0)	0.000000 (0)
B6BLV3_9PROT/5-128	1.201538 (7)	105.267860 (7)	0.000000 (0)
G7HWG0_9CORY/25-168	22.469231 (20)	0.000000 (0)	0.000000 (1)
G0M4B5_LACPE/4-133	1.201538 (7)	131.732147 (8)	117.500000 (4)
D7FIV5_ECTSI/95-268	24.250769 (18)	0.000000 (0)	0.000000 (0)
A4XAX2_SALTO/6-199	8.116923 (14)	0.000000 (0)	0.000000 (0)
D7WXJ3_9BACI/4-145	33.358463 (22)	0.000000 (0)	0.000000 (0)
D3E3N4_METRM/3-138	3.740000 (11)	0.000000 (0)	0.000000 (0)
B8CZ23_HALOH/4-148	3.681538 (11)	0.000000 (1)	24.000000 (2)
F3LMS0_9BURK/8-140	0.860000 (7)	131.732147 (8)	0.000000 (0)
A3V6U9_9RHOB/18-155	1.098462 (7)	3.625000 (2)	24.000000 (2)
E2ZBX5_9FIRM/6-127	1.092308 (8)	34.017857 (4)	22.000000 (2)
A2U478_9FLAO/4-146	46.073845 (26)	0.000000 (0)	0.000000 (0)
F4FW80_LACBN/6-135	1.201538 (7)	131.732147 (8)	117.500000 (4)
B5J5F4_9RHOB/102-236	0.860000 (7)	131.732147 (8)	0.000000 (0)
G2LLC2_CHLTF/22-167	30.139999 (22)	0.000000 (0)	0.000000 (0)
F0L404_AGRSH/6-150	40.544617 (25)	0.000000 (1)	0.000000 (0)
C4FCE1_9ACTN/4-145	16.500000 (17)	0.000000 (0)	0.000000 (0)
C6I055_9BACT/3-133	1.538462 (8)	131.732147 (8)	0.000000 (0)
F6GBY7_LACS5/4-146	39.363075 (24)	0.000000 (0)	0.000000 (0)
A9AWN2_HERA2/4-141	2.761539 (7)	0.000000 (0)	0.000000 (0)
G3XCS2_PROMA/5-152	39.546154 (24)	0.000000 (0)	0.000000 (0)
F7KFW5_9FIRM/4-150	17.290770 (18)	0.000000 (0)	0.000000 (0)
D4MR43_9FIRM/4-145	14.278461 (16)	0.000000 (0)	0.000000 (0)
A9BT76_DELAS/20-165	46.073845 (26)	0.000000 (0)	0.000000 (0)
G4CXG6_9ACTO/16-182	4.306154 (11)	0.000000 (0)	0.000000 (1)
H5WW09_9BURK/5-146	0.472308 (5)	131.732147 (8)	0.000000 (1)
D8FEQ0_9DELT/177-299	0.726154 (6)	19.142857 (3)	117.500000 (4)
B1I6K7_DESAP/5-145	3.816923 (11)	0.000000 (0)	0.000000 (1)
A5V4K2_SPHWW/9-152	38.718460 (24)	0.000000 (0)	0.000000 (0)
D7E2J9_NOSA0/4-127	0.640000 (7)	24.428572 (4)	0.000000 (1)
Q5D1Y3_9GAMM/5-142	4.961538 (13)	0.000000 (0)	0.000000 (0)
D1NA63_9BACT/3-142	4.766154 (12)	0.000000 (1)	13.416667 (2)
D4LFX9_9FIRM/4-145	18.349232 (18)	0.000000 (1)	0.000000 (0)
D3L2H2_9BACT/1-158	0.220000 (2)	0.000000 (1)	0.000000 (0)
C0EYG2_9FIRM/1-130	0.000000 (1)	0.000000 (0)	0.000000 (0)
A8UMZ3_9FLAO/4-146	46.073845 (26)	0.000000 (0)	0.000000 (0)
E1ND69_9BIFI/4-158	12.416924 (17)	0.000000 (0)	0.000000 (0)
O00810_TRIFO/8-141	35.512306 (23)	0.000000 (0)	0.000000 (0)
E8R6S3_ISOPI/239-384	2.578462 (10)	0.000000 (0)	0.000000 (1)
H0F874_9BURK/8-142	0.870769 (7)	131.732147 (8)	0.000000 (0)
C7RBY1_KANKD/3-134	0.689231 (6)	78.160713 (6)	0.000000 (0)
H1G514_9GAMM/13-141	1.475385 (6)	5.107143 (2)	24.000000 (2)
A9D6R0_9RHIZ/8-142	0.732308 (7)	131.732147 (8)	0.000000 (0)
H9IRX9_ATTCE/14-159	36.429230 (23)	0.000000 (0)	0.000000 (0)
A4EBE5_9ACTN/13-157	15.350769 (16)	0.000000 (0)	0.000000 (1)
B9DSU2_STRU0/4-137	11.441539 (15)	0.000000 (0)	0.000000 (0)
A4TA23_MYCGI/8-129	0.558462 (6)	39.035713 (4)	117.500000 (4)
A9EK00_9RHOB/15-152	36.053844 (23)	0.000000 (0)	0.000000 (0)
B0VHS4_CLOAI/245-384	4.661539 (11)	0.000000 (1)	0.000000 (0)
F7KXN5_9FUSO/4-125	1.092308 (8)	47.857143 (5)	22.000000 (2)
A8FB05_BACP2/4-147	31.621538 (22)	0.000000 (0)	0.000000 (0)
E1Z6V2_CHLVA/15-180	33.612309 (23)	0.000000 (0)	0.000000 (0)
C9YZ44_STRSW/83-204	0.361538 (5)	54.071430 (5)	62.583332 (3)
A5UVX5_ROSS1/6-145	1.638462 (6)	0.000000 (0)	0.000000 (0)
G4F7R1_9GAMM/6-131	0.484615 (5)	64.875000 (6)	0.000000 (0)
E8TL89_MESCW/15-145	1.564615 (8)	3.428571 (2)	24.000000 (2)
C3JPE4_RHOER/3-166	7.266154 (14)	0.000000 (0)	0.000000 (0)
G4FB25_9GAMM/5-142	9.310769 (15)	0.000000 (0)	0.000000 (0)
E8N3L7_ANATU/4-146	4.661539 (11)	2.464286 (2)	0.000000 (1)
C2CCS6_VIBCL/23-165	15.872308 (18)	0.000000 (0)	0.000000 (0)
A4C844_9GAMM/7-132	1.493846 (8)	39.196430 (5)	0.000000 (1)
G2THT5_BACCO/3-138	6.980000 (14)	0.000000 (0)	0.000000 (1)
B8G408_CHLAD/109-238	0.527692 (6)	104.964287 (7)	65.833336 (3)
B9JB06_AGRRK/27-157	0.543077 (5)	3.428571 (2)	24.000000 (2)
B0JM59_MICAN/4-127	0.689231 (6)	24.428572 (4)	117.500000 (4)
A5GJZ2_SYNPW/4-148	1.760000 (8)	0.000000 (1)	0.000000 (0)
B3EMM2_CHLPB/5-151	25.475384 (21)	0.000000 (0)	0.000000 (0)
H6PCI9_STRIC/4-137	12.860000 (16)	0.000000 (0)	0.000000 (0)
B5CN55_9FIRM/361-497	3.003077 (6)	3.017857 (2)	0.000000 (1)
A7VF07_9CLOT/1-133	6.713846 (8)	0.000000 (0)	0.000000 (1)
A4JT19_BURVG/5-138	9.310769 (15)	0.000000 (0)	0.000000 (1)
A5FP29_FLAJ1/5-146	42.972309 (25)	0.000000 (0)	0.000000 (0)
H0RAX3_9ACTO/7-131	0.770769 (6)	5.107143 (2)	24.000000 (2)
H1YZ93_9EURY/5-134	0.550769 (6)	0.000000 (1)	62.583332 (3)
I1DVX2_9GAMM/6-130	1.536923 (8)	64.875000 (6)	0.000000 (1)
H0BRS9_9BURK/10-155	46.073845 (26)	0.000000 (0)	0.000000 (0)
A1SN60_NOCSJ/9-130	0.475385 (5)	54.071430 (5)	0.000000 (1)
C6PVE1_9CLOT/4-142	1.843077 (9)	0.000000 (0)	0.000000 (0)
H0QN48_ARTGO/11-132	0.644615 (6)	54.071430 (5)	117.500000 (4)
E0UQ77_SULAO/4-142	25.443077 (20)	0.000000 (0)	0.000000 (0)
E1VZD0_ARTAR/5-129	0.332308 (4)	21.696428 (4)	24.333334 (2)
H8E6L3_9MICO/95-214	0.701538 (7)	45.232143 (5)	0.000000 (1)
G6EH39_9SPHN/1-133	0.755385 (6)	131.732147 (8)	0.000000 (0)
B2IBV1_BEII9/7-150	38.341537 (24)	0.000000 (0)	0.000000 (0)
E7RPG6_9BACT/6-152	46.073845 (26)	0.000000 (0)	0.000000 (0)
B4W9Q8_9CAUL/4-151	31.295385 (22)	0.000000 (0)	0.000000 (0)
I0XBV1_9SPIO/4-145	20.350769 (19)	0.000000 (0)	0.000000 (0)
C7PSH7_CHIPD/1-137	35.464615 (23)	0.000000 (0)	0.000000 (0)
E8UCN5_TAYEM/1-141	26.163076 (20)	0.000000 (1)	0.000000 (0)
A8R8K1_9FIRM/16-157	17.718462 (18)	0.000000 (0)	0.000000 (0)
Q1GIV8_SILST/4-141	36.053844 (23)	0.000000 (0)	0.000000 (0)
D6GAR0_9ENTR/5-139	7.612308 (14)	0.000000 (0)	0.000000 (0)
Q2F633_BOMMO/8-152	41.424614 (24)	0.000000 (0)	0.000000 (0)
I0WFP6_9FLAO/6-148	42.972309 (25)	0.000000 (0)	0.000000 (0)
H4F966_9RHIZ/25-156	1.064615 (7)	3.428571 (2)	24.000000 (2)
E8CGG5_SALMO/3-129	1.710769 (8)	131.732147 (8)	0.000000 (0)
A1AMA1_PELPD/5-134	0.689231 (6)	105.267860 (7)	62.583332 (3)
B5JLA7_9BACT/6-150	1.966154 (8)	0.000000 (1)	0.000000 (1)
F2LQB6_BURGS/5-143	2.832308 (10)	0.000000 (0)	0.000000 (1)
E5USU8_9BACE/3-133	3.278461 (8)	16.160715 (3)	0.000000 (1)
F4SM99_ECOLX/5-139	10.978461 (16)	0.000000 (1)	0.000000 (0)
H0R0X7_9ACTO/8-134	0.535385 (5)	5.107143 (2)	24.000000 (2)
Q1NDC2_9SPHN/40-174	5.655385 (12)	0.000000 (0)	0.000000 (0)
C9LF36_9BACT/31-172	20.350769 (19)	0.000000 (0)	0.000000 (0)
G5IHJ8_9CLOT/4-145	14.278461 (16)	0.000000 (0)	0.000000 (0)
H1C7X4_9FIRM/1-133	8.021539 (9)	0.000000 (0)	0.000000 (0)
C4Z265_EUBE2/1-129	6.713846 (8)	0.000000 (0)	0.000000 (0)
D7BBC9_MEISD/4-140	31.395384 (23)	0.000000 (0)	0.000000 (0)
D1B9V6_THEAS/4-142	2.989231 (10)	0.000000 (0)	0.000000 (1)
E8RW10_ASTEC/3-133	1.538462 (8)	108.482140 (7)	0.000000 (1)
D1PB83_9BACT/20-166	44.315384 (25)	0.000000 (0)	0.000000 (0)
G4DIN4_9GAMM/1-133	31.393847 (17)	0.000000 (0)	0.000000 (0)
F4C103_SPHS2/4-133	1.201538 (7)	85.178574 (6)	117.500000 (4)
H4FAK8_9RHIZ/6-148	40.852306 (25)	0.000000 (0)	0.000000 (0)
E7QZY4_9EURY/43-184	9.770769 (14)	0.000000 (0)	0.000000 (1)
D5BN48_PUNMI/15-149	2.003077 (9)	131.732147 (8)	0.000000 (0)
E1Y946_9DELT/214-336	0.726154 (6)	54.071430 (5)	117.500000 (4)
A7NLK8_ROSCS/115-244	0.527692 (6)	91.875000 (7)	117.500000 (4)
A0ZHE4_NODSP/1-129	26.875385 (16)	0.000000 (0)	0.000000 (0)
B2IGD1_BEII9/11-142	0.750769 (6)	3.428571 (2)	56.916668 (3)
C2W9L0_BACCE/7-130	1.201538 (7)	84.446426 (6)	65.833336 (3)
Q8DHY3_THEEB/5-150	46.073845 (26)	0.000000 (0)	0.000000 (0)
Q0K595_CUPNH/5-138	13.115385 (17)	0.000000 (1)	0.000000 (0)
D5UJD9_CELFN/10-183	6.755384 (13)	0.000000 (0)	0.000000 (0)
D3SXH7_NATMM/6-134	0.800000 (7)	29.482143 (4)	117.500000 (4)
Q2YA55_NITMU/12-159	40.544617 (25)	0.000000 (0)	0.000000 (0)
A6GMR0_9BURK/5-140	0.472308 (5)	131.732147 (8)	0.000000 (1)
E6QI49_9ZZZZ/7-141	0.755385 (6)	131.732147 (8)	0.000000 (0)
E6TYI3_BACCJ/4-148	27.106153 (21)	0.000000 (0)	0.000000 (0)
C7NFR9_KYTSD/3-168	7.803077 (14)	0.000000 (0)	0.000000 (0)
A1WV84_HALHL/7-138	1.460000 (7)	63.214287 (6)	49.666668 (3)
E2Q6N6_STRCL/20-177	2.660000 (9)	0.000000 (0)	0.000000 (1)
I0JJ90_HALHO/4-145	27.106153 (21)	0.000000 (0)	0.000000 (0)
A0YGH7_9GAMM/40-173	5.578462 (12)	0.000000 (0)	0.000000 (0)
G2I0N3_GLUXN/8-151	44.135384 (25)	0.000000 (0)	0.000000 (0)
C6VW23_DYAFD/4-133	1.201538 (7)	85.178574 (6)	117.500000 (4)
C9KL38_9FIRM/6-147	17.718462 (18)	0.000000 (1)	0.000000 (0)
H9KQA8_APIME/4-147	18.130770 (18)	0.000000 (0)	0.000000 (0)
Q1AUQ1_RUBXD/11-152	5.775384 (12)	0.000000 (0)	0.000000 (1)
C6WXR3_METML/3-133	1.538462 (8)	131.732147 (8)	0.000000 (0)
A6NYE4_9FIRM/1-129	6.713846 (8)	0.000000 (0)	0.000000 (0)
Q47EI1_DECAR/5-150	40.878460 (25)	0.000000 (0)	0.000000 (0)
A6FND7_9RHOB/9-145	1.098462 (7)	0.000000 (1)	24.000000 (2)
B8GR17_THISH/4-149	46.073845 (26)	0.000000 (0)	0.000000 (0)
E1QKA6_DESB2/4-136	0.620000 (6)	64.571426 (5)	117.500000 (4)
Q084H8_SHEFN/13-155	44.135384 (25)	0.000000 (0)	0.000000 (0)
C1DJK1_AZOVD/3-134	0.689231 (6)	131.732147 (8)	0.000000 (0)
Q5YR80_NOCFA/7-128	1.016923 (7)	39.035713 (4)	117.500000 (4)
G7CDX6_MYCTH/7-150	18.684616 (19)	0.000000 (0)	0.000000 (0)
E2BIE0_HARSA/7-152	36.429230 (23)	0.000000 (0)	0.000000 (0)
E4L231_9STRE/4-137	11.441539 (15)	0.000000 (0)	0.000000 (0)
H1FX07_9HELI/4-142	27.338461 (20)	0.000000 (0)	0.000000 (0)
B1T4Y2_9BURK/5-138	7.218462 (14)	0.000000 (0)	0.000000 (0)
Q7MS57_WOLSU/4-126	1.201538 (7)	105.267860 (7)	0.000000 (0)
D3FW70_BACPE/6-135	1.201538 (7)	108.482140 (7)	65.833336 (3)
Q1N217_9GAMM/3-133	0.826154 (7)	98.392860 (7)	0.000000 (0)
H5Y2J5_9FIRM/6-127	1.203077 (9)	34.017857 (4)	0.000000 (1)
G0IX32_CYCMS/4-150	41.287693 (24)	0.000000 (0)	0.000000 (0)
A6AQ25_VIBHA/5-143	7.243077 (14)	0.000000 (0)	0.000000 (0)
A3LQB8_PICST/1-134	28.443077 (16)	0.000000 (0)	0.000000 (0)
G4IYY0_9PSEU/7-128	1.304615 (8)	39.035713 (4)	62.583332 (3)
A9BIG9_PETMO/6-135	0.472308 (5)	99.410713 (7)	117.500000 (4)
H8KLR2_SOLCM/3-146	33.098461 (23)	0.000000 (0)	0.000000 (0)
A3K101_9RHOB/121-255	0.755385 (6)	131.732147 (8)	0.000000 (0)
E1KQL9_9BACT/13-160	44.315384 (25)	0.000000 (1)	0.000000 (0)
D9SFH0_GALCS/7-152	42.972309 (25)	0.000000 (0)	0.000000 (0)
F5R8P1_9RHOO/23-168	44.315384 (25)	0.000000 (0)	0.000000 (0)
G2E889_9GAMM/432-571	2.287692 (9)	0.000000 (0)	0.000000 (0)
D5BTG3_PUNMI/16-145	1.981538 (8)	9.321428 (3)	56.916668 (3)
E6U369_ETHHY/6-127	1.092308 (8)	34.017857 (4)	22.000000 (2)
A4SF91_PROVI/21-156	0.472308 (5)	22.589285 (4)	117.500000 (4)
Q3JDJ2_NITOC/22-157	0.873846 (7)	108.482140 (7)	0.000000 (0)
C6X3K7_FLAB3/3-145	29.809231 (22)	0.000000 (0)	0.000000 (0)
H1BKE6_9FIRM/4-145	13.824615 (16)	0.000000 (0)	0.000000 (0)
E7FY03_ERYRH/4-142	18.752308 (18)	0.000000 (0)	0.000000 (0)
B3RLD6_TRIAD/21-187	10.063077 (14)	0.000000 (0)	0.000000 (0)
A4AQ04_MARSH/5-145	40.107693 (24)	0.000000 (0)	0.000000 (0)
E1G799_LOALO/11-156	35.464615 (23)	0.000000 (0)	0.000000 (0)
C0QF78_DESAH/7-143	1.066154 (6)	81.928574 (6)	117.500000 (4)
Q9K6G0_BACHD/6-145	3.495385 (11)	0.000000 (0)	0.000000 (1)
B0WL23_CULQU/7-153	41.424614 (24)	0.000000 (0)	0.000000 (1)
B8K532_VIBPA/5-143	5.895385 (13)	0.000000 (1)	0.000000 (1)
B7FAZ7_9MICO/204-326	0.644615 (6)	54.071430 (5)	24.333334 (2)
C6LJ03_9FIRM/35-176	20.621538 (19)	0.000000 (0)	0.000000 (0)
F2NJ12_DESAR/4-133	0.944615 (7)	105.267860 (7)	117.500000 (4)
H1XV38_9BACT/4-133	0.515385 (6)	14.767858 (3)	24.000000 (2)
D7CJT1_SYNLT/6-158	3.681538 (11)	0.000000 (1)	0.000000 (1)
C1I717_9CLOT/5-126	1.092308 (8)	59.678570 (5)	0.000000 (1)
E5XP94_9ACTO/10-134	0.535385 (5)	38.035713 (5)	62.583332 (3)
G2ZFH3_LISIP/3-134	6.892308 (14)	0.000000 (1)	0.000000 (0)
F9QPJ5_9MYCO/111-237	1.546154 (9)	28.107143 (4)	0.000000 (1)
G0K2K2_STEMA/5-137	0.755385 (6)	131.732147 (8)	0.000000 (0)
F2K3A1_MARM1/3-146	46.073845 (26)	0.000000 (0)	0.000000 (1)
D4JJP0_9FIRM/7-157	20.621538 (19)	0.000000 (0)	0.000000 (0)
D5MEK6_9BACT/16-145	0.472308 (5)	131.732147 (8)	117.500000 (4)
E0I562_9BACL/4-151	36.053844 (23)	0.000000 (0)	0.000000 (0)
H1P2P1_9BACT/3-131	0.467692 (5)	104.964287 (7)	62.583332 (3)
Q6MC96_PARUW/6-150	25.261538 (20)	0.000000 (0)	0.000000 (0)
F2ZJ48_9PSED/5-143	8.310769 (15)	0.000000 (0)	0.000000 (0)
F8DZM3_CORRG/6-156	22.469231 (20)	0.000000 (0)	0.000000 (0)
B2AHI1_CUPTR/18-151	13.269231 (18)	0.000000 (0)	0.000000 (0)
A7IEN9_XANP2/16-150	0.472308 (5)	3.428571 (2)	24.000000 (2)
A1ZV73_9BACT/4-150	36.055386 (24)	0.000000 (0)	0.000000 (0)
Q30XK7_DESDG/3-136	1.066154 (6)	105.267860 (7)	117.500000 (4)
D2Z742_9BACT/3-135	1.141539 (7)	105.267860 (7)	117.500000 (4)
F0G3G4_9BURK/5-138	9.310769 (15)	0.000000 (0)	0.000000 (1)
Q8KC58_CHLTE/5-149	28.741539 (22)	0.000000 (0)	0.000000 (0)
A3XM92_LEEBM/5-147	28.330769 (21)	0.000000 (0)	0.000000 (0)
B9A1Q6_PHONA/12-148	44.135384 (25)	0.000000 (0)	0.000000 (0)
E1WY26_BACMS/4-148	38.263077 (24)	0.000000 (0)	0.000000 (0)
D0I6U5_VIBHO/8-150	41.141537 (24)	0.000000 (0)	0.000000 (0)
E6PGP3_9ZZZZ/11-143	0.475385 (5)	84.446426 (6)	117.500000 (4)
A8U4G9_9PROT/4-149	30.981539 (22)	0.000000 (0)	0.000000 (1)
D0D687_9RHOB/5-146	36.053844 (23)	0.000000 (0)	0.000000 (0)
G4QGF5_GLANF/6-148	42.972309 (25)	0.000000 (0)	0.000000 (0)
G9PHS5_9ACTO/11-183	5.287692 (12)	0.000000 (0)	0.000000 (0)
C9D2I0_9RHOB/4-140	36.053844 (23)	0.000000 (0)	0.000000 (0)
F8NFV1_SERL9/5-144	38.318462 (23)	0.000000 (0)	0.000000 (0)
A5N3J3_CLOK5/4-142	1.843077 (9)	0.000000 (0)	0.000000 (1)
F3KBE8_9GAMM/4-140	43.103077 (25)	0.000000 (0)	0.000000 (0)
F4H876_CELFA/4-125	0.543077 (5)	0.000000 (1)	62.583332 (3)
F6BH84_THEXL/5-125	0.786154 (7)	47.857143 (5)	117.500000 (4)
A8L017_FRASN/8-148	3.627692 (11)	0.000000 (0)	0.000000 (0)
B4JYC0_DROGR/3-153	22.564615 (20)	0.000000 (0)	0.000000 (0)
C3KML1_RHISN/11-145	0.755385 (6)	131.732147 (8)	0.000000 (0)
E1GTW4_9BACT/13-160	40.096924 (24)	0.000000 (0)	0.000000 (0)
D0L2Y3_GORB4/98-219	0.476923 (5)	54.071430 (5)	117.500000 (4)
E3B865_9MICO/23-149	0.535385 (5)	21.696428 (4)	24.333334 (2)
I0HHD7_ACTMI/6-195	8.116923 (14)	0.000000 (0)	0.000000 (0)
G4R8A6_PELHB/8-142	0.755385 (6)	131.732147 (8)	0.000000 (0)
F2LEL1_BURGS/4-134	4.103077 (11)	0.000000 (0)	0.000000 (0)
Q3IM39_NATPD/7-132	0.353846 (5)	0.000000 (1)	117.500000 (4)
C0E903_9CLOT/7-138	3.130769 (10)	0.000000 (0)	0.000000 (1)
D4LXR2_9FIRM/4-149	11.892307 (16)	0.000000 (1)	0.000000 (0)
C1A914_GEMAT/3-142	5.256923 (13)	0.000000 (0)	0.000000 (1)
G4HWW4_MYCRH/36-199	5.695385 (13)	0.000000 (0)	0.000000 (0)
Q3ZA56_DEHE1/14-137	0.644615 (6)	54.071430 (5)	14.250000 (2)
G6IH60_9DELT/6-138	0.864615 (7)	36.035713 (4)	117.500000 (4)
G8QS80_SPHPG/1-129	6.713846 (8)	0.000000 (0)	0.000000 (0)
C9K183_KLEPN/5-139	9.009231 (15)	0.000000 (0)	0.000000 (0)
C5C896_MICLC/3-150	16.015385 (17)	0.000000 (0)	0.000000 (0)
B0W219_CULQU/3-147	21.050770 (19)	0.000000 (0)	0.000000 (0)
E9C5W8_CAPO3/3-151	42.972309 (25)	0.000000 (0)	0.000000 (0)
E4NNU9_HALBP/6-132	0.800000 (7)	29.482143 (4)	65.833336 (3)
C6RMY0_ACIRA/9-160	40.099998 (25)	0.000000 (0)	0.000000 (0)
B5JTG8_9GAMM/3-134	1.538462 (8)	108.482140 (7)	0.000000 (0)
G7HF64_9BURK/4-137	7.218462 (14)	0.000000 (0)	0.000000 (0)
F4CPL2_PSEUX/18-159	19.426153 (19)	0.000000 (0)	0.000000 (0)
B2JPA7_BURP8/7-136	0.333846 (4)	23.071428 (4)	0.000000 (0)
G6FJ76_9EURY/10-137	0.472308 (5)	74.875000 (6)	117.500000 (4)
Q8KBQ9_CHLTE/5-135	1.201538 (7)	105.267860 (7)	117.500000 (4)
Q220Z5_RHOFD/25-170	28.495384 (22)	0.000000 (0)	0.000000 (0)
B9NQV1_9RHOB/116-250	0.906154 (7)	131.732147 (8)	0.000000 (0)
D6ZA04_SEGRD/8-151	14.070769 (17)	0.000000 (1)	0.000000 (0)
Q18EA9_HALWD/12-140	0.800000 (7)	29.482143 (4)	65.833336 (3)
H0R2B9_9ACTO/1-132	14.227693 (12)	0.000000 (0)	0.000000 (1)
C6HYN5_9BACT/434-572	10.087692 (14)	0.000000 (0)	0.000000 (0)
